date,cases,deaths,uf,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-07,1,0,MG,8039,3128907,12.43936,
2020-04-07,10,0,MG,,,,
2020-04-07,2,0,MG,263410,3131307,0.75927,
2020-04-07,1,0,MG,120060,3131703,0.83292,
2020-04-07,1,0,MG,9783,3133600,10.22181,
2020-04-07,2,0,MG,71648,3135100,2.79142,
2020-04-07,1,0,MG,4912,3135407,20.35831,
2020-04-07,42,0,MG,568873,3136702,7.38302,
2020-04-07,11,0,MG,52165,3137205,21.08694,
2020-04-07,3,0,MG,103773,3138203,2.89093,
2020-04-07,1,0,MG,42133,3139003,2.37344,
2020-04-07,1,0,MG,90229,3139409,1.10829,
2020-04-07,3,1,MG,60724,3140001,4.94039,0.3333
2020-04-07,1,0,MG,37820,3141108,2.6441,
2020-04-07,1,1,MG,409341,3143302,0.2443,1.0
2020-04-07,4,0,MG,108763,3143906,3.67772,
2020-04-07,2,0,MG,40750,3144300,4.90798,
2020-04-07,37,0,MG,94889,3144805,38.99293,
2020-04-07,1,1,MG,33639,3146008,2.97274,1.0
2020-04-07,1,0,MG,93158,3147006,1.07345,
2020-04-07,1,0,MG,21083,3147303,4.74316,
2020-04-07,4,0,MG,152488,3148004,2.62316,
2020-04-07,5,0,MG,90757,3148103,5.50922,
2020-04-07,1,0,MG,34691,3151503,2.88259,
2020-04-07,2,0,MG,167397,3151800,1.19476,
2020-04-07,8,1,MG,150737,3152501,5.30726,125
2020-04-07,2,0,MG,334858,3154606,0.59727,
2020-04-07,5,0,MG,136344,3156700,3.66719,
2020-04-07,1,0,MG,219134,3157807,0.45634,
2020-04-07,1,0,MG,34663,3158953,2.88492,
2020-04-07,2,0,MG,28243,3160405,7.0814,
2020-04-07,3,0,MG,90082,3162500,3.3303,
2020-04-07,1,0,MG,32752,3165537,3.05325,
2020-04-07,1,0,MG,5356,3165578,18.67065,
2020-04-07,1,0,MG,11582,3166808,8.63409,
2020-04-07,3,0,MG,239639,3167202,1.25188,
2020-04-07,4,0,MG,89842,3168705,4.45226,
2020-04-07,1,0,MG,6258,3169109,15.97955,
2020-04-07,1,0,MG,115552,3169901,0.86541,
2020-04-07,11,0,MG,333783,3170107,3.29555,
2020-04-07,35,2,MG,691305,3170206,5.06289,0.0571
2020-04-07,1,0,MG,84378,3170404,1.18514,
2020-04-07,4,0,MG,135558,3170701,2.95077,
2020-04-07,559,11,MG,21168791,31,2.64068,0.0197
2020-04-07,1,0,MS,5343,5000252,18.71608,
2020-04-07,6,2,MS,11329,5002001,52.96143,0.3333
2020-04-07,48,0,MS,895982,5002704,5.35725,
2020-04-07,2,0,MS,25218,5002951,7.93084,
2020-04-07,1,0,MS,111435,5003207,0.89738,
2020-04-07,6,0,MS,222949,5003702,2.6912,
2020-04-07,9,0,MS,54374,5006200,16.55203,
2020-04-07,1,0,MS,92526,5006606,1.08078,
2020-04-07,1,0,MS,19746,5007406,5.06432,
2020-04-07,1,0,MS,57665,5007901,1.73415,
2020-04-07,1,0,MS,19274,5007935,5.18834,
2020-04-07,3,0,MS,121388,5008305,2.47141,
2020-04-07,80,2,MS,2778986,50,2.87875,25
2020-04-07,1,0,MT,51782,5100250,1.93117,
2020-04-07,1,0,MT,22354,5101407,4.47347,
2020-04-07,2,0,MT,94376,5102504,2.11918,
2020-04-07,1,0,MT,35360,5102637,2.82805,
2020-04-07,1,0,MT,21579,5102702,4.63414,
2020-04-07,1,0,MT,19752,5103007,5.06278,
2020-04-07,43,0,MT,612547,5103403,7.01987,
2020-04-07,2,0,MT,,,,
2020-04-07,1,1,MT,65534,5105259,1.52593,1.0
2020-04-07,1,0,MT,9178,5108956,10.89562,
2020-04-07,1,0,MT,45378,5106224,2.20371,
2020-04-07,1,0,MT,62019,5107040,1.61241,
2020-04-07,6,0,MT,232491,5107602,2.58075,
2020-04-07,2,0,MT,18906,5107107,10.57865,
2020-04-07,4,0,MT,142996,5107909,2.79728,
2020-04-07,4,0,MT,103750,5107958,3.85542,
2020-04-07,1,0,MT,3525,5108303,28.36879,
2020-04-07,5,0,MT,284971,5108402,1.75456,
2020-04-07,78,1,MT,3484466,51,2.23851,0.0128
2020-04-07,2,0,PA,157698,1500107,1.26825,
2020-04-07,2,0,PA,114594,1500602,1.74529,
2020-04-07,16,0,PA,530598,1500800,3.01547,
2020-04-07,3,0,PA,124680,1501303,2.40616,
2020-04-07,100,3,PA,1492745,1501402,6.69907,0.03
2020-04-07,1,0,PA,62737,1501501,1.59396,
2020-04-07,1,1,PA,137890,1502103,0.72522,1.0
2020-04-07,2,0,PA,200793,1502400,0.99605,
2020-04-07,1,0,PA,40475,1503093,2.47066,
2020-04-07,3,0,PA,101247,1503606,2.96305,
2020-04-07,2,0,PA,279349,1504208,0.71595,
2020-04-07,3,0,PA,131521,1504422,2281,
2020-04-07,1,0,PA,25762,1505031,3.88169,
2020-04-07,1,0,PA,32512,1505205,3.07579,
2020-04-07,3,0,PA,208273,1505536,1.44042,
2020-04-07,10,1,PA,304589,1506807,3.28311,0.1
2020-04-07,1,0,PA,31482,1507003,3.17642,
2020-04-07,1,0,PA,24847,1507458,4.02463,
2020-04-07,1,0,PA,113659,1508100,0.87982,
2020-04-07,154,5,PA,8602865,15,1.7901,0.0325
2020-04-07,1,0,PB,67736,2503209,1.47632,
2020-04-07,3,0,PB,409731,2504009,0.73219,
2020-04-07,1,0,PB,6117,2502607,16.34788,
2020-04-07,30,2,PB,809015,2507507,3.70821,0.0667
2020-04-07,1,1,PB,7150,2507804,13.98601,1.0
2020-04-07,1,1,PB,107605,2510808,0.92932,1.0
2020-04-07,2,0,PB,136586,2513703,1.46428,
2020-04-07,1,0,PB,13699,2515500,7.2998,
